temperature,ph,color_score,quality
85.46,5.44,6.96,excellent
78.37,5.19,4.22,bad
90.15,5.61,5.29,excellent
91.55,4.57,9.43,good
83.33,6.13,9.23,good
87.19,5.21,9.94,excellent
84.69,5.68,3.64,average
85.0,5.83,2.44,bad
83.86,6.01,5.97,average
89.63,5.78,5.7,good
85.94,4.76,2.24,bad
92.52,5.96,2.22,average
84.26,5.85,5.19,average
86.83,6.17,8.55,good
76.99,5.54,7.04,good
88.4,6.13,6.32,good
78.8,5.61,9.47,excellent
83.01,5.26,2.47,bad
83.45,5.17,4.55,average
87.85,5.57,3.67,good
76.12,5.22,8.39,good
87.77,5.36,5.66,excellent
94.09,5.18,7.56,excellent
81.41,4.93,5.97,average
84.71,6.48,5.92,bad
83.74,5.13,6.86,good
88.43,5.08,2.52,average
84.72,6.1,4.76,average
83.83,5.14,5.9,good
91.87,6.12,6.95,good
78.6,5.52,4.44,average
80.01,6.06,3.91,bad
83.39,5.64,2.85,average
83.77,5.46,5.21,good
84.7,6.0,9.14,excellent
89.06,5.35,1.47,average
84.24,5.9,2.78,bad
84.79,5.09,6.27,good
88.74,5.65,7.3,excellent
79.0,5.55,3.04,average
82.27,5.4,2.45,average
85.4,5.19,3.8,average
88.95,5.77,1.84,average
81.42,5.07,4.31,bad
80.5,5.43,2.0,bad
87.72,5.76,5.79,good
86.53,4.39,9.86,good
82.69,5.55,4.46,good
80.97,5.91,6.55,average
93.21,4.98,2.36,average
81.96,5.19,2.94,bad
84.49,5.76,9.52,excellent
85.11,5.11,3.53,average
90.15,4.95,4.14,average
87.06,4.99,4.67,average
80.39,5.17,4.85,average
83.59,4.78,7.78,average
85.7,5.81,4.38,average
87.04,5.57,2.47,average
84.21,5.9,1.3,bad
85.23,5.5,1.27,average
83.15,5.45,2.73,average
87.53,5.87,2.47,average
77.09,5.68,6.62,average
89.08,6.55,5.91,bad
90.03,5.8,8.0,excellent
88.08,4.85,3.8,average
85.3,5.6,8.68,excellent
87.63,6.47,6.99,average
81.81,5.53,7.63,excellent
84.56,5.43,8.25,excellent
86.41,5.67,5.21,good
88.91,6.06,8.21,excellent
79.14,5.47,9.35,excellent
90.78,5.02,5.92,good
85.24,5.07,1.32,bad
78.16,5.39,3.37,average
90.16,5.47,1.0,average
84.73,5.51,3.09,good
83.02,6.17,1.39,bad
94.96,5.78,6.02,excellent
85.01,5.05,1.2,bad
87.49,5.33,2.35,average
83.04,6.85,5.11,bad
85.77,5.79,7.07,excellent
79.87,4.82,6.41,bad
83.18,5.38,5.13,good
87.29,5.7,2.88,average
85.19,5.71,9.23,excellent
85.95,5.9,4.94,average
90.27,4.94,1.52,bad
81.75,4.82,2.19,bad
89.2,6.42,2.76,bad
80.38,4.8,4.7,bad
84.51,6.73,9.39,average
84.63,5.73,3.52,average
88.12,5.53,2.0,average
87.0,5.8,2.5,average
78.17,6.74,2.17,bad
85.83,5.69,2.08,average
86.48,5.54,1.72,average
90.82,4.63,1.51,bad
86.06,5.53,7.26,excellent
82.13,4.69,2.92,bad
94.72,4.97,7.82,excellent
79.12,6.08,7.15,average
87.77,6.43,2.43,bad
99.12,4.53,1.57,bad
86.07,5.22,5.28,good
82.51,6.06,2.92,bad
86.27,5.52,7.29,excellent
89.75,6.41,4.24,bad
80.11,5.67,2.2,bad
96.73,5.32,9.52,excellent
85.39,6.07,2.37,bad
75.12,5.96,4.98,bad
81.57,4.81,1.09,bad
85.59,5.75,2.99,average
80.04,5.46,2.1,bad
90.59,5.64,4.76,excellent
89.41,5.11,2.12,average
78.4,5.11,8.89,good
95.22,5.53,4.13,excellent
92.24,5.64,2.61,good
90.82,5.0,2.27,average
78.71,5.24,5.79,average
86.38,5.31,4.2,good
81.98,5.65,6.65,good
86.74,4.49,2.05,bad
86.77,4.42,9.45,average
89.15,5.62,1.14,average
85.1,4.46,8.06,average
78.38,5.94,6.13,average
79.51,5.73,4.97,average
80.47,5.51,4.47,good
89.19,6.41,7.24,average
79.56,5.23,7.6,good
94.77,5.12,6.38,excellent
84.48,5.2,4.04,average
89.29,4.66,7.35,good
93.15,5.31,6.82,excellent
83.2,5.24,8.72,excellent
95.2,5.64,1.81,good
87.92,5.08,7.91,excellent
75.84,6.39,4.61,bad
85.09,5.91,3.29,average
90.15,6.39,1.97,bad
92.39,5.33,9.83,excellent
89.77,5.83,2.03,average
82.5,5.22,5.85,good
86.43,5.59,3.52,good
81.53,5.16,9.07,excellent
90.24,5.58,6.28,excellent
85.23,5.62,7.75,excellent
74.01,5.37,6.94,average
85.05,3.99,3.59,bad
85.74,5.42,1.99,average
82.85,4.77,2.61,bad
92.38,5.41,3.26,good
89.15,5.3,7.57,excellent
91.78,5.4,8.74,excellent
86.97,5.45,2.19,average
89.35,5.52,9.62,excellent
88.29,5.14,1.34,bad
78.64,5.58,4.14,average
93.72,5.07,9.29,excellent
87.68,5.94,2.94,average
85.74,4.79,5.01,average
76.58,4.86,2.03,bad
85.46,5.36,8.54,excellent
83.66,5.56,7.84,excellent
88.91,4.84,3.2,bad
92.28,5.14,4.71,good
83.91,6.05,1.28,bad
78.48,5.74,7.8,good
79.72,5.08,9.09,good
87.5,4.93,7.74,good
89.22,5.96,4.14,average
95.34,5.6,2.11,good
81.64,5.13,5.38,average
82.61,5.44,3.51,average
87.87,5.24,2.65,average
86.54,6.15,4.19,average
83.87,4.89,1.73,bad
89.9,6.16,2.82,bad
81.84,5.5,9.46,excellent
88.55,5.29,1.97,average
98.55,5.85,2.11,good
84.69,5.73,6.74,good
82.0,5.7,8.06,excellent
73.49,5.06,2.71,bad
88.61,5.55,5.78,excellent
88.23,5.0,1.38,bad
79.97,5.59,6.44,good
76.22,5.19,1.98,bad
86.28,5.46,1.66,average
86.62,5.54,4.75,good
84.19,5.2,9.49,excellent
78.4,5.76,2.01,bad
91.05,5.97,7.08,excellent
92.48,6.07,3.18,average
84.42,5.67,4.46,good
89.25,5.46,2.54,good
84.74,5.18,3.27,average
83.68,6.47,5.03,bad
74.61,5.23,9.87,good
90.01,4.67,7.91,good
81.32,6.16,1.12,bad
96.01,5.06,5.02,excellent
83.6,5.67,7.29,excellent
85.56,5.09,8.34,excellent
88.95,5.49,2.94,good
81.98,5.54,9.76,excellent
95.07,4.63,8.11,excellent
74.59,5.41,1.25,bad
87.88,6.26,6.71,average
82.67,5.74,6.44,good
89.44,5.34,9.93,excellent
84.67,5.4,3.26,average
83.42,5.7,4.91,good
84.55,5.24,7.89,excellent
94.0,4.94,9.17,excellent
92.97,6.1,7.79,excellent
82.61,5.31,9.37,excellent
87.13,6.23,8.23,good
87.18,6.67,9.4,average
83.49,6.56,3.62,bad
92.95,5.15,7.67,excellent
87.1,5.55,3.69,good
87.88,5.0,3.24,average
91.69,5.13,2.97,average
78.52,4.48,8.22,bad
95.28,5.88,2.31,good
91.36,5.46,2.84,good
75.9,5.09,7.56,average
82.67,5.3,9.13,excellent
78.52,5.49,5.99,good
87.46,5.74,1.66,average
83.51,4.92,2.27,bad
78.68,5.59,3.78,average
83.66,6.28,6.87,average
86.35,5.02,5.12,average
84.89,5.6,2.96,average
90.49,4.66,1.07,bad
86.19,5.48,1.04,average
91.2,5.15,7.3,excellent
88.98,4.85,1.65,bad
82.34,5.9,7.76,good
80.12,5.78,5.36,average
85.9,3.81,7.1,bad
85.71,5.99,7.81,good
76.41,4.61,9.14,average
82.72,6.18,7.28,average
79.88,5.92,4.84,average
84.81,6.11,2.08,bad
76.94,6.34,1.09,bad
83.06,6.24,8.66,good
97.92,6.05,8.04,excellent
80.48,5.9,6.43,average
74.91,6.26,6.46,bad
82.82,5.55,2.79,average
82.87,5.61,8.72,excellent
86.21,4.84,6.86,good
82.71,5.59,7.01,excellent
87.41,5.02,1.22,bad
87.65,6.16,1.18,bad
79.56,5.6,5.31,average
83.83,4.68,8.64,average
82.42,5.21,1.07,bad
86.9,5.81,6.78,good
81.5,5.18,7.85,good
82.11,4.29,3.46,bad
86.09,5.3,1.06,bad
87.43,6.0,9.02,excellent
83.43,6.15,2.76,bad
87.05,5.7,7.98,excellent
82.35,5.18,7.49,good
85.04,6.53,7.54,average
83.14,4.97,4.08,bad
79.65,6.11,8.6,average
88.56,5.02,9.05,excellent
79.22,4.88,3.62,bad
89.79,5.95,3.58,average
82.14,5.86,7.85,good
77.44,5.9,1.04,bad
91.41,5.19,1.24,average
88.67,5.51,1.34,average
92.89,4.76,3.99,average
83.07,5.5,9.27,excellent
89.91,5.0,9.34,excellent
83.11,6.15,4.51,bad
82.03,5.88,4.18,average
93.27,5.89,7.32,excellent
86.34,5.08,8.91,excellent
85.04,5.74,2.3,average
82.86,5.4,1.05,bad
79.72,5.08,7.9,good
82.15,5.07,6.49,average
86.39,5.6,5.09,good
88.42,6.26,4.19,bad
77.99,5.68,1.9,bad
90.12,5.38,6.29,excellent
85.1,5.66,4.52,good
90.46,4.98,2.86,average
79.23,6.34,2.7,bad
77.26,6.19,6.43,bad
84.84,5.23,4.55,average
90.61,5.42,1.02,average
87.3,5.36,6.2,excellent
81.17,6.07,8.75,good
89.78,4.29,9.43,good
89.98,6.1,2.45,bad
87.71,5.91,3.37,average
83.56,5.63,1.67,bad
79.15,6.25,5.2,bad
88.32,6.16,5.86,average
85.33,5.95,8.99,excellent
87.5,4.94,9.88,excellent
83.36,6.01,3.89,bad
94.77,5.47,6.6,excellent
91.85,5.48,6.45,excellent
84.18,5.39,1.23,bad
76.91,5.0,4.89,bad
83.88,5.91,1.02,bad
85.05,5.97,2.47,bad
85.63,5.34,1.09,bad
78.56,5.85,5.44,average
87.46,5.67,4.84,good
81.85,5.15,7.26,good
85.95,5.42,8.83,excellent
87.09,4.49,4.0,bad
83.22,4.96,2.25,bad
90.81,5.39,1.86,good
83.21,5.59,2.23,average
86.24,4.92,7.2,good
86.59,5.49,5.58,excellent
72.23,5.36,9.26,good
92.45,5.85,4.7,good
89.11,5.3,6.24,excellent
81.46,5.67,7.02,good
86.74,4.76,8.67,good
89.88,6.53,2.72,bad
88.4,5.74,7.49,excellent
85.76,5.66,4.68,good
94.49,5.2,2.16,good
91.44,6.34,6.31,average
89.36,5.75,2.75,average
84.74,4.75,2.23,bad
79.89,5.07,4.5,bad
84.25,5.38,9.3,excellent
87.72,5.42,1.52,average
83.42,4.34,7.22,bad
88.77,4.36,8.12,average
81.33,5.38,3.93,average
81.62,4.84,4.35,bad
83.38,5.77,5.14,average
91.97,5.09,7.68,excellent
85.51,5.3,3.86,average
77.89,6.01,7.2,average
81.31,6.49,2.23,bad
84.71,5.87,4.01,average
90.37,6.31,6.06,average
93.63,6.62,9.57,good
87.33,5.34,1.32,average
90.92,5.96,6.17,good
84.62,5.61,4.3,good
95.85,5.34,1.89,good
87.96,5.22,2.13,average
85.21,5.33,4.69,good
92.43,4.99,1.97,average
83.33,5.24,7.58,good
83.37,5.59,6.2,good
90.98,5.52,7.03,excellent
78.25,4.46,9.22,bad
79.56,6.97,7.68,bad
79.03,5.39,5.1,average
81.94,5.17,6.43,good
92.62,5.99,1.62,average
78.25,5.35,2.94,bad
85.57,5.31,8.97,excellent
89.04,5.06,8.81,excellent
83.49,5.14,9.44,excellent
88.24,5.49,3.93,good
86.59,5.13,2.02,bad
85.11,5.56,1.87,average
80.11,5.94,8.35,good
81.2,5.33,4.33,average
75.46,5.51,4.18,average
81.36,5.34,1.45,bad
79.97,4.66,4.53,bad
88.39,5.06,4.53,average
89.62,4.77,8.72,excellent
74.8,6.01,4.75,bad
77.78,5.25,3.82,bad
82.02,5.47,3.35,average
92.39,6.32,8.33,good
79.14,5.47,5.53,good
91.19,5.98,9.24,excellent
88.42,5.97,6.27,good
84.77,5.12,3.87,average
81.96,4.89,1.91,bad
75.37,4.93,8.75,average
82.27,5.93,4.05,bad
98.33,4.51,5.91,good
81.66,5.28,6.74,good
80.13,5.55,6.57,good
85.62,5.03,2.1,bad
88.22,4.77,3.31,bad
78.82,4.92,5.73,bad
80.62,6.12,9.8,good
90.9,5.72,7.5,excellent
82.27,5.12,9.11,excellent
82.39,5.77,9.64,excellent
88.37,5.31,6.68,excellent
83.29,4.6,1.03,bad
95.12,5.63,5.67,excellent
87.91,5.57,1.09,average
79.93,5.61,1.48,bad
89.3,4.63,1.42,bad
84.61,5.97,6.91,good
81.81,4.89,9.21,good
85.16,5.53,5.75,excellent
85.33,5.51,1.05,average
84.35,5.05,9.14,excellent
83.64,5.84,8.39,excellent
84.57,5.45,9.14,excellent
79.09,6.01,2.51,bad
88.8,5.28,8.94,excellent
78.0,4.57,4.42,bad
88.54,5.47,4.16,good
86.22,5.59,7.59,excellent
84.97,6.09,9.02,good
75.14,5.91,2.73,bad
85.62,5.57,4.3,good
75.63,5.6,8.78,good
83.63,5.03,5.48,average
70.23,6.36,6.34,bad
88.2,6.09,3.93,average
84.78,5.75,1.5,bad
86.97,5.49,1.84,average
81.73,5.22,6.29,good
80.13,4.75,6.24,bad
79.77,5.15,2.12,bad
82.91,5.15,5.97,good
94.35,6.08,8.16,excellent
91.46,5.93,8.58,excellent
82.57,5.82,1.39,bad
86.32,4.73,2.97,bad
87.99,5.03,1.33,bad
81.97,5.1,3.2,bad
84.63,6.16,7.24,average
82.5,4.53,4.68,bad
87.85,5.19,6.36,good
92.9,5.31,3.16,good
89.1,5.81,1.45,average
79.94,5.84,8.78,good
76.35,5.99,6.87,average
83.94,5.98,7.67,good
81.49,6.7,6.19,bad
89.58,5.31,9.13,excellent
84.84,6.75,8.57,bad
84.79,5.77,6.55,good
81.42,5.17,3.15,bad
88.06,5.35,3.3,good
90.45,5.22,6.11,excellent
82.7,5.59,6.06,good
89.99,5.69,7.75,excellent
79.7,5.23,1.53,bad
78.51,5.47,4.56,average
77.93,6.18,5.62,bad
83.16,5.24,2.0,bad
82.61,5.66,8.45,excellent
89.45,5.65,3.28,good
89.71,6.23,9.44,excellent
75.45,6.03,5.71,bad
93.31,5.64,5.96,excellent
92.96,4.48,4.26,bad
90.25,5.81,4.42,good
84.32,5.64,8.74,excellent
80.88,6.38,1.91,bad
84.16,5.24,6.26,good
92.7,5.46,9.48,excellent
96.05,5.99,2.14,average
79.21,5.98,4.55,bad
87.57,4.95,8.87,excellent
85.68,5.11,5.29,good
80.6,5.94,3.98,bad
84.38,6.34,1.66,bad
86.07,6.16,4.98,average
86.78,6.02,9.97,excellent
91.66,5.04,1.48,average
82.0,4.65,1.52,bad
99.93,5.24,1.94,good
85.06,5.77,9.08,excellent
86.19,5.8,8.48,excellent
86.67,4.98,4.63,average
77.49,5.6,5.29,average
87.97,5.84,6.55,good
85.44,5.34,6.88,excellent
79.87,5.6,1.39,bad
89.28,4.73,3.22,bad
82.82,5.41,1.54,bad
84.41,6.19,4.53,bad
81.73,5.91,2.07,bad
81.34,6.07,5.13,bad
78.94,5.91,8.01,good
84.21,4.39,5.18,bad
84.89,5.63,1.72,average
87.46,5.4,7.32,excellent
85.43,5.38,8.3,excellent
77.76,5.94,1.45,bad
89.47,5.3,5.94,excellent
82.71,5.85,4.15,average
83.94,5.56,9.52,excellent
83.29,5.26,9.81,excellent
83.4,5.31,3.34,average
80.91,6.02,7.25,average
80.57,5.58,1.67,bad
92.06,5.48,4.46,excellent
88.54,5.03,9.47,excellent
85.93,5.52,3.58,good
87.4,5.34,8.19,excellent
83.81,5.53,8.37,excellent
92.71,5.47,9.14,excellent
85.65,5.75,6.78,good
82.43,5.86,8.7,excellent
89.17,5.72,1.5,average
83.59,5.2,5.03,average
83.49,5.48,1.54,average
80.98,6.18,2.64,bad
86.07,5.69,8.48,excellent
86.47,5.81,2.65,average
92.48,5.67,2.77,good
81.26,4.93,7.35,average
93.39,4.84,7.54,excellent
83.11,5.2,1.19,bad
82.03,5.48,2.07,average
86.87,5.84,7.34,excellent
87.89,5.68,4.78,good
88.78,5.14,6.61,excellent
86.82,5.15,3.49,average
84.87,5.44,6.92,excellent
87.7,5.44,4.76,good
90.53,6.15,2.78,bad
78.75,4.81,3.84,bad
81.13,4.96,4.48,bad
84.26,5.99,9.28,excellent
88.33,6.08,5.1,average
79.13,5.85,7.25,good
83.44,6.04,6.46,average
88.28,5.11,7.78,excellent
82.22,5.02,4.68,average
89.99,5.79,5.33,good
77.79,5.4,5.9,average
82.83,5.93,8.55,good
83.04,5.44,7.86,excellent
100.59,5.64,7.28,excellent
84.55,5.64,6.4,good
82.73,5.48,7.47,excellent
77.38,5.33,8.01,good
80.46,6.18,9.14,good
89.18,4.64,2.54,bad
89.13,5.22,6.9,excellent
83.82,6.08,5.42,average
85.1,6.09,6.34,average
78.18,5.54,6.81,good
84.77,6.18,8.38,good
80.99,5.14,1.79,bad
85.14,4.74,7.5,average
88.16,5.8,5.17,good
88.76,4.94,4.86,average
81.56,5.77,7.69,good
77.56,5.19,8.69,good
78.35,5.17,6.83,average
77.26,5.86,6.29,average
82.01,5.61,2.17,average
85.75,5.32,3.17,average
77.71,4.9,8.45,average
83.67,6.17,7.54,average
86.63,5.35,9.74,excellent
84.1,4.97,9.98,excellent
85.52,6.97,3.55,bad
88.6,4.85,9.79,excellent
84.05,5.52,5.09,good
87.72,5.77,9.21,excellent
87.65,5.02,3.21,average
81.33,6.34,3.8,bad
88.3,5.14,3.37,average
79.96,5.02,9.63,good
90.81,5.44,9.18,excellent
87.67,5.75,4.37,good
84.8,5.17,3.21,average
89.14,5.8,7.41,excellent
86.98,6.21,9.11,good
76.84,5.16,6.72,average
87.13,5.78,8.71,excellent
87.61,5.99,6.97,good
89.62,5.72,4.82,good
87.69,5.48,6.93,excellent
74.04,4.83,4.35,bad
83.85,4.89,8.65,good
79.41,5.13,1.27,bad
89.37,6.07,5.37,good
88.49,5.02,8.11,excellent
88.61,6.21,2.94,bad
81.52,5.76,2.54,bad
81.4,5.53,1.7,average
82.41,5.3,8.64,excellent
80.97,5.19,3.13,bad
90.49,5.24,4.81,good
79.75,5.62,6.6,good
83.74,6.49,9.56,average
81.17,5.77,3.89,average
96.35,4.39,5.63,average
84.66,5.24,9.25,excellent
74.6,4.77,8.51,bad
77.61,5.25,4.24,bad
80.99,5.59,6.69,good
88.71,5.4,7.85,excellent
78.12,5.58,5.24,average
83.57,5.65,6.77,good
79.62,5.37,3.67,average
88.27,5.81,3.87,good
80.76,5.51,1.56,bad
86.2,6.33,2.54,bad
86.4,5.88,4.12,average
83.21,5.84,7.29,good
87.4,5.58,3.52,good
92.83,4.98,1.21,average
85.41,5.13,3.31,average
90.89,5.78,2.3,average
84.81,6.04,8.14,good
79.75,5.95,6.3,average
100.49,5.34,3.58,excellent
78.83,4.88,9.3,good
82.08,5.17,4.05,average
90.32,5.46,5.93,excellent
76.17,5.45,1.92,bad
81.13,5.73,4.92,average
90.47,6.72,6.94,average
82.18,6.06,3.08,bad
81.82,4.89,2.53,bad
81.88,5.93,3.82,bad
97.26,5.73,2.54,good
88.08,5.49,1.99,good
90.6,5.62,6.04,excellent
81.74,5.68,4.08,average
83.72,5.3,6.98,good
85.79,4.6,2.95,bad
92.12,5.57,9.68,excellent
84.19,5.62,5.82,good
79.1,6.16,4.25,bad
88.43,5.93,2.94,average
82.36,5.28,1.99,bad
76.12,4.62,1.1,bad
89.85,6.46,5.51,average
86.9,4.97,6.11,good
81.54,5.46,3.67,average
87.64,5.86,2.7,average
85.3,6.06,7.79,good
85.58,5.68,6.93,excellent
84.96,4.56,1.91,bad
80.87,5.96,2.85,bad
90.36,5.8,3.27,good
85.16,5.1,1.84,bad
80.97,5.17,7.35,good
