temp,humidity,aroma,color,quality
37.17,72.55,722,76,Bad
23.43,41.96,455,62,Bad
22.53,69.77,1106,73,Average
24.67,51.53,1061,101,Good
25.87,72.8,1688,98,Excellent
33.13,68.96,1114,75,Average
27.42,66.44,379,95,Good
20.8,54.71,1242,181,Average
27.32,49.16,276,192,Bad
23.47,80.14,1531,127,Average
25.3,47.12,749,190,Bad
29.77,53.95,1348,112,Excellent
20.69,55.0,1347,158,Average
32.61,56.41,1766,157,Average
38.09,77.52,1481,152,Bad
25.4,56.03,1699,196,Good
30.81,52.3,333,120,Good
24.77,64.34,915,77,Average
24.12,43.77,1610,179,Bad
37.23,73.14,911,164,Average
26.6,75.54,375,139,Average
29.55,52.76,262,189,Average
28.36,73.18,1895,139,Excellent
23.85,62.78,465,57,Bad
29.45,69.69,848,105,Excellent
24.9,41.95,1007,180,Bad
25.33,65.79,667,150,Good
38.76,66.28,1157,87,Good
25.39,46.59,1476,124,Good
27.68,43.9,1624,165,Average
25.1,73.78,1046,57,Good
38.93,42.16,784,183,Bad
34.02,55.43,1269,61,Average
36.26,44.87,1286,158,Bad
24.13,81.06,1264,59,Bad
27.99,56.67,1809,56,Good
37.99,46.81,699,75,Bad
38.5,65.97,474,83,Average
37.82,68.43,1636,169,Average
31.88,78.95,1508,92,Good
23.56,71.32,521,69,Bad
29.44,60.98,778,108,Good
38.44,88.28,1124,191,Bad
31.93,46.42,1715,133,Good
25.36,50.57,528,154,Average
38.5,42.44,462,169,Bad
20.44,72.55,264,84,Average
20.55,65.25,478,152,Bad
24.96,41.62,1311,71,Bad
21.74,75.5,754,117,Bad
36.45,77.52,1432,54,Bad
20.27,56.91,467,198,Bad
33.33,53.51,935,69,Average
30.78,78.74,235,54,Bad
33.62,71.6,1492,95,Good
36.75,76.82,1032,190,Bad
37.63,67.77,1059,173,Average
29.5,48.81,467,61,Bad
32.89,51.38,1092,121,Good
31.28,46.75,1037,103,Good
21.07,89.47,463,150,Bad
24.22,44.43,1196,172,Bad
30.89,69.17,435,80,Good
23.21,81.43,1472,126,Average
33.82,52.81,1510,181,Average
26.16,88.5,281,114,Average
32.08,48.77,1322,66,Bad
35.14,77.86,786,169,Bad
35.4,44.96,583,189,Bad
24.79,85.01,1514,86,Average
22.86,72.38,603,168,Bad
29.99,82.55,1002,176,Average
27.06,62.18,470,146,Good
34.94,84.11,524,199,Bad
37.94,49.83,1279,99,Average
30.4,72.61,1397,168,Good
27.12,66.09,431,68,Average
20.23,82.08,949,130,Average
34.31,79.55,1995,171,Bad
27.45,65.09,1540,164,Good
26.38,52.08,1951,90,Excellent
36.39,47.27,1619,122,Average
29.97,84.51,1860,163,Average
33.88,74.97,1617,169,Average
23.88,85.16,1757,164,Bad
27.82,53.51,877,133,Excellent
29.86,79.81,1344,72,Average
39.07,43.66,825,58,Bad
29.98,50.49,887,92,Excellent
26.57,80.46,1641,62,Average
26.33,70.47,811,118,Excellent
20.89,40.03,370,86,Bad
29.28,56.97,1831,55,Good
22.97,55.05,1133,186,Average
21.73,70.25,1896,72,Average
28.26,88.91,252,163,Bad
20.27,86.13,742,118,Bad
33.64,68.31,1533,100,Good
34.89,75.09,1421,152,Bad
32.04,71.86,698,81,Average
21.37,56.0,963,93,Good
30.69,75.36,1856,115,Good
30.76,55.61,1461,101,Excellent
29.71,56.67,1558,109,Excellent
33.04,47.32,664,165,Bad
21.29,69.13,424,83,Average
22.37,79.54,1647,90,Average
33.8,72.37,451,80,Average
20.75,64.38,1245,152,Average
27.35,48.74,903,139,Good
34.42,77.16,1711,194,Bad
21.13,52.96,869,155,Average
36.72,66.52,1764,196,Average
36.61,77.84,1213,178,Bad
23.07,82.13,519,100,Bad
21.3,83.63,1548,184,Bad
28.68,45.3,1651,138,Good
28.16,58.58,495,58,Average
36.25,52.89,203,187,Bad
34.83,73.48,970,67,Average
37.66,84.36,1289,188,Bad
35.58,89.53,1190,117,Average
23.57,68.32,1335,140,Good
35.12,51.04,201,120,Average
34.06,48.39,1997,125,Average
22.43,68.32,1564,195,Average
28.21,72.6,1401,94,Excellent
38.8,53.29,1153,115,Good
34.81,66.23,1352,56,Average
32.63,48.82,1319,134,Average
39.77,75.92,317,188,Bad
21.15,47.95,901,137,Average
27.19,68.85,1282,199,Good
25.67,46.48,1840,59,Average
21.27,48.31,1602,188,Bad
32.2,51.78,1619,176,Average
23.81,81.69,1489,88,Average
22.19,47.79,621,113,Bad
37.51,54.59,801,188,Average
39.39,83.11,1443,100,Average
26.21,46.46,278,51,Bad
20.84,76.33,1581,169,Bad
30.38,68.95,509,130,Good
23.2,47.47,1119,129,Average
30.18,67.85,487,188,Average
21.25,73.5,1019,145,Good
36.26,41.91,1175,96,Average
34.34,48.06,613,158,Bad
20.48,47.89,1446,58,Bad
39.9,50.94,1674,130,Good
38.45,82.82,1239,140,Average
38.63,48.92,1020,54,Bad
31.45,83.73,1920,124,Good
38.88,66.13,981,93,Good
25.49,71.19,921,182,Good
29.82,83.89,1353,129,Good
26.63,69.94,1836,195,Good
34.86,44.29,920,118,Average
24.03,58.9,241,89,Average
26.04,41.2,1283,168,Average
39.04,66.02,1147,73,Average
29.44,77.54,977,167,Average
24.7,73.21,1536,186,Average
22.99,78.95,1764,122,Average
29.66,78.5,1192,194,Average
36.88,64.44,1774,195,Average
20.92,88.8,1088,50,Bad
31.7,71.35,221,113,Good
32.24,41.24,1754,94,Average
28.38,76.43,1507,148,Good
29.91,85.89,1245,127,Good
31.49,45.02,1020,131,Good
27.27,59.17,340,96,Good
22.69,62.11,383,95,Average
22.96,81.08,694,56,Bad
32.71,60.24,667,186,Bad
28.26,87.82,1750,157,Average
22.28,73.64,1381,173,Average
28.8,71.61,714,138,Good
23.86,64.13,731,187,Bad
37.69,78.54,1897,187,Bad
20.36,50.45,425,180,Bad
31.24,67.94,1195,166,Good
30.55,43.95,1601,151,Average
39.16,41.01,1020,180,Bad
37.66,80.51,861,61,Bad
22.83,82.35,1762,96,Average
23.73,51.22,528,103,Average
33.1,58.07,658,54,Bad
30.85,50.39,1782,143,Excellent
34.85,47.17,1841,96,Average
35.89,46.38,916,50,Bad
24.11,71.4,1307,152,Average
38.54,85.87,1854,187,Bad
32.1,44.69,1669,52,Bad
37.14,62.72,878,190,Average
25.41,70.58,562,65,Average
34.74,77.59,313,85,Bad
26.73,54.32,1879,77,Good
28.31,86.17,661,121,Average
29.95,45.95,515,72,Bad
28.85,56.69,366,147,Good
21.02,88.5,657,143,Bad
37.96,47.63,1570,131,Average
31.31,40.8,970,142,Good
25.98,74.65,640,188,Average
38.53,88.44,1265,67,Bad
27.19,87.05,1712,130,Good
23.67,63.99,1875,52,Average
21.1,44.49,1925,192,Bad
21.24,58.44,1273,70,Average
24.26,72.85,1325,146,Good
39.49,54.56,1125,102,Good
27.55,70.27,1021,172,Good
26.07,66.35,1998,52,Good
27.28,72.33,1857,86,Excellent
20.21,49.71,889,136,Average
39.21,78.16,1415,182,Bad
28.49,76.63,1674,136,Good
28.4,55.06,478,101,Good
35.88,85.58,897,173,Bad
20.06,45.05,1695,103,Average
21.85,60.67,321,61,Bad
36.72,46.53,1649,134,Average
32.98,72.12,1967,154,Average
24.06,55.05,1548,151,Average
27.0,74.98,886,154,Good
24.51,80.5,384,100,Bad
32.09,85.27,1229,185,Bad
26.16,87.17,691,186,Bad
35.44,53.72,989,99,Good
30.93,88.05,374,165,Bad
22.71,58.52,593,139,Average
24.71,71.2,1163,136,Good
21.97,50.74,1196,55,Average
26.84,77.79,223,95,Average
25.25,82.35,948,151,Average
34.71,82.15,1459,176,Bad
33.22,44.51,465,122,Bad
20.96,47.24,417,197,Bad
36.52,40.92,276,97,Bad
34.25,88.63,1176,193,Bad
30.48,88.18,1979,105,Good
34.4,42.22,1043,78,Bad
20.26,83.09,934,123,Average
22.56,58.39,1788,114,Good
36.36,68.73,537,185,Bad
35.38,73.05,704,93,Average
38.91,83.41,1949,188,Bad
25.34,57.52,908,71,Good
34.28,46.0,596,84,Bad
22.22,54.02,1792,169,Average
31.37,43.88,573,177,Bad
36.17,61.89,902,128,Good
28.06,58.46,995,95,Excellent
23.44,51.53,1254,198,Average
36.58,45.91,609,104,Bad
39.05,67.97,1906,135,Good
20.53,63.6,355,118,Average
32.0,52.34,1226,184,Good
20.05,66.48,1209,158,Average
37.41,80.04,357,122,Bad
35.47,82.75,789,137,Bad
22.1,40.76,1652,104,Average
33.8,70.3,765,163,Bad
21.01,89.51,784,162,Bad
29.73,53.83,955,57,Good
26.29,52.29,1244,148,Excellent
38.59,44.18,251,121,Bad
34.93,88.68,880,146,Average
35.04,74.75,1344,139,Good
39.12,82.31,1750,112,Average
35.18,70.25,1626,185,Average
31.83,71.53,292,145,Good
38.74,66.49,1397,171,Average
33.71,83.87,1453,197,Bad
34.79,65.84,417,134,Average
32.29,89.52,1879,141,Average
23.82,72.13,526,180,Bad
39.45,47.62,1580,123,Average
34.58,40.41,594,86,Bad
35.25,58.29,1318,127,Good
28.09,74.8,898,83,Excellent
20.13,64.21,421,71,Bad
33.06,70.08,822,124,Good
29.78,44.68,1293,69,Average
21.7,67.85,1210,71,Average
23.27,78.67,1074,102,Average
21.01,51.14,638,127,Average
20.99,84.88,1739,131,Average
35.28,73.46,248,130,Average
35.32,86.54,977,67,Bad
35.67,53.33,1252,110,Good
27.39,56.15,1170,157,Good
39.12,72.75,473,96,Average
31.97,87.53,1818,130,Good
34.18,58.74,779,172,Bad
31.73,60.82,930,97,Excellent
22.32,89.42,395,174,Bad
21.29,75.71,283,87,Bad
23.32,85.72,756,100,Bad
24.28,65.24,1001,51,Average
37.65,51.45,1923,76,Average
32.52,76.24,1940,78,Bad
29.42,63.86,1046,57,Good
24.94,60.35,1778,149,Good
27.1,86.39,1245,109,Good
31.42,43.37,1432,182,Average
28.62,51.01,1295,196,Good
23.63,46.07,391,50,Bad
20.01,55.96,1367,54,Average
38.91,83.85,1538,51,Bad
39.36,63.19,1472,56,Average
33.62,71.54,1280,179,Average
31.69,70.21,745,121,Good
27.34,43.95,1757,141,Good
22.2,51.38,966,56,Average
39.48,71.9,1660,185,Average
26.17,85.9,1089,93,Good
26.69,51.2,1652,82,Excellent
26.61,56.39,704,144,Good
26.68,52.91,562,77,Average
27.22,68.27,213,91,Good
38.49,66.89,1683,182,Average
20.1,68.74,766,81,Average
31.38,88.14,1192,121,Good
21.07,65.73,867,139,Good
20.05,68.53,457,159,Bad
28.12,57.88,457,127,Good
36.48,57.01,1740,109,Good
23.14,45.2,1968,68,Bad
30.76,80.38,305,87,Average
27.19,87.41,1706,151,Average
32.82,62.29,524,92,Average
21.44,59.06,1103,134,Good
31.8,81.73,509,155,Bad
33.67,49.34,535,150,Bad
24.64,60.32,1539,194,Average
33.85,84.2,792,86,Bad
35.91,55.88,1719,109,Good
21.1,83.49,1510,138,Average
34.55,81.45,1613,195,Bad
23.87,70.35,1792,57,Average
32.43,43.99,1757,119,Average
28.0,71.67,1544,109,Excellent
34.4,55.53,1444,99,Good
26.54,86.9,1610,124,Good
30.0,50.64,500,111,Good
36.72,49.96,1002,191,Bad
22.8,65.9,1196,156,Average
21.89,73.9,591,148,Average
36.14,42.64,765,57,Bad
38.26,81.37,901,160,Bad
38.51,62.79,821,161,Average
34.07,74.79,1553,110,Good
27.02,76.86,905,55,Average
21.02,89.43,1930,133,Average
33.12,41.01,1833,163,Bad
31.31,61.25,1293,152,Good
23.59,77.58,1100,158,Bad
39.74,40.82,384,126,Bad
35.29,68.54,1911,184,Average
35.45,52.73,1878,147,Good
31.93,53.94,298,176,Average
29.89,80.73,1646,128,Good
32.14,60.83,1874,174,Average
25.44,44.64,1718,101,Good
37.72,60.04,1880,172,Average
38.45,54.48,446,165,Bad
34.19,76.47,792,196,Bad
26.39,80.19,579,152,Bad
30.02,87.59,1951,176,Average
20.95,72.77,1730,182,Average
39.34,88.55,898,172,Bad
22.17,86.43,916,92,Average
37.22,87.86,1717,137,Average
26.03,77.97,1681,84,Good
27.94,77.04,695,80,Average
28.48,49.08,991,123,Good
36.61,87.62,1179,149,Average
29.73,70.8,1983,152,Good
29.78,42.08,403,173,Bad
20.81,83.89,1951,187,Bad
25.42,42.15,1978,181,Average
36.28,74.33,1514,183,Average
38.18,80.99,1111,151,Bad
39.79,63.92,717,156,Bad
26.04,80.47,1713,189,Average
30.2,76.79,1038,121,Good
24.65,51.04,1930,66,Average
25.73,62.86,1983,158,Good
29.31,75.67,839,187,Average
37.03,81.82,1412,58,Bad
21.79,62.18,1375,166,Average
20.6,58.6,1473,147,Good
28.26,77.23,1041,135,Good
35.83,89.49,549,86,Bad
38.08,77.86,231,74,Bad
39.89,63.41,1712,190,Average
24.04,74.02,386,167,Bad
22.24,47.73,998,137,Average
23.4,71.62,1800,135,Good
30.3,66.51,414,56,Average
37.28,77.88,515,177,Bad
39.99,54.32,1787,188,Average
39.98,70.41,1013,185,Average
24.59,69.01,1439,161,Average
34.22,74.66,973,134,Good
30.84,43.52,937,155,Average
30.42,80.98,1915,72,Average
39.99,40.95,522,70,Bad
31.75,83.78,1071,74,Average
26.03,84.09,537,70,Bad
30.44,52.49,996,126,Excellent
20.19,80.27,731,58,Bad
29.62,70.73,282,68,Average
27.04,80.46,1911,193,Average
26.25,88.95,1459,65,Average
32.42,58.92,899,137,Good
38.38,76.48,306,77,Bad
20.37,78.24,487,60,Bad
35.61,81.66,1244,119,Average
34.55,83.81,1630,199,Bad
24.16,84.94,1423,132,Average
37.25,44.61,746,152,Bad
26.75,73.67,1047,177,Good
22.31,86.34,1219,140,Average
38.16,75.41,1236,93,Average
33.85,76.53,1247,185,Bad
21.82,42.91,917,108,Average
32.92,50.45,342,57,Bad
34.11,60.84,1826,70,Average
34.04,72.34,503,89,Average
21.87,53.31,1509,166,Average
21.77,61.68,495,100,Average
25.53,84.72,1673,184,Average
25.75,75.09,1353,103,Good
29.82,82.93,758,138,Average
33.27,57.49,356,103,Average
38.6,85.88,1902,114,Average
32.67,50.95,1903,193,Average
39.48,86.83,1588,170,Bad
25.36,42.96,1006,125,Good
34.24,82.14,865,83,Average
20.82,43.87,641,134,Bad
35.22,77.76,936,141,Average
33.96,84.57,1893,98,Average
21.76,57.38,1977,157,Average
38.71,42.56,415,128,Bad
27.45,56.63,1150,125,Excellent
20.96,42.2,472,141,Bad
30.11,46.82,276,61,Bad
29.52,78.14,383,196,Bad
33.59,89.11,702,174,Bad
36.9,61.17,1268,77,Average
33.36,53.0,1453,102,Good
28.96,57.76,1602,85,Excellent
34.41,88.52,862,94,Average
37.73,60.46,1164,61,Average
29.47,84.15,1218,124,Good
36.76,62.65,555,168,Bad
28.21,68.21,1061,191,Good
39.99,58.4,1824,110,Good
24.52,74.05,380,168,Bad
35.87,45.85,1808,140,Average
26.89,52.73,1488,137,Excellent
31.79,49.24,1038,198,Average
22.76,68.53,1182,85,Good
20.86,55.49,1564,74,Average
30.86,79.54,418,170,Bad
26.04,80.53,1203,164,Average
39.37,53.98,1606,191,Average
25.6,61.28,502,137,Good
39.17,76.98,1397,120,Average
39.03,66.38,616,163,Bad
21.69,75.14,1504,111,Average
34.13,50.05,986,146,Good
28.89,42.14,304,111,Average
36.8,60.42,326,175,Bad
29.16,78.16,1470,158,Average
25.99,54.55,333,156,Average
31.39,73.83,730,169,Average
29.65,51.47,564,155,Average
24.54,87.74,324,78,Bad
24.45,85.37,1339,180,Bad
24.93,89.84,1750,162,Bad
34.18,88.05,1082,97,Average
31.07,64.7,1268,144,Excellent
33.86,65.76,1164,148,Good
32.07,42.44,635,181,Bad
32.59,50.15,1006,113,Good
37.56,75.84,1052,118,Average
36.71,43.21,1086,185,Bad
29.48,54.79,745,138,Good
35.41,42.74,1670,143,Average
39.5,78.35,1121,144,Average
31.07,66.05,918,68,Good
37.63,71.54,864,189,Average
37.7,63.33,1244,107,Good
27.19,86.14,839,121,Good
26.71,63.0,1088,195,Good
21.62,79.62,549,94,Bad
30.15,60.16,529,124,Good
38.01,50.89,400,157,Bad
21.73,58.96,1089,107,Good
29.88,69.97,1001,171,Good
27.77,42.35,1477,176,Average
25.63,68.34,613,73,Average
34.14,66.87,1484,69,Average
33.97,87.89,421,126,Bad
20.01,72.58,889,164,Average
35.59,46.83,1512,193,Bad
28.97,83.04,1091,99,Good
26.45,48.52,602,73,Bad
27.22,46.48,926,119,Good
33.31,57.07,1614,134,Good
21.28,88.62,1301,62,Bad
24.22,68.73,967,106,Good
25.94,57.03,1092,76,Good
32.48,75.4,249,77,Bad
22.59,48.7,1648,119,Average
33.54,50.05,442,180,Bad
25.53,85.51,1750,181,Average
21.42,57.55,1351,158,Average
36.26,63.25,724,81,Average
20.3,66.36,1739,122,Good
25.59,69.84,1585,53,Good
36.54,83.39,1142,91,Average
22.38,74.72,1445,160,Average
36.52,81.9,1525,132,Average
33.95,88.17,1821,163,Bad
36.92,58.24,984,50,Average
31.01,55.59,419,52,Average
21.24,44.55,796,148,Bad
34.48,61.29,1875,113,Good
34.32,58.42,249,142,Average
28.85,64.77,1324,145,Excellent
23.84,78.04,1697,82,Average
23.86,46.32,1010,177,Bad
39.46,46.23,1897,55,Bad
22.99,62.2,1842,105,Good
33.54,78.78,699,138,Bad
24.38,60.28,1765,174,Average
26.07,76.25,1903,140,Good
21.03,55.07,429,127,Average
22.9,53.74,910,129,Good
27.44,65.29,244,138,Good
32.7,57.35,454,169,Bad
24.41,46.81,1196,165,Bad
34.13,70.07,233,109,Average
32.79,87.98,542,130,Bad
21.35,82.97,246,101,Bad
28.65,89.9,655,185,Bad
22.74,75.7,1927,132,Average
29.49,82.84,968,178,Average
29.84,41.11,931,157,Average
36.42,42.5,997,165,Bad
26.75,40.75,1024,176,Average
36.73,66.38,1264,182,Average
36.14,57.21,638,76,Bad
23.68,73.65,1771,176,Average
22.83,76.73,411,98,Bad
30.69,87.03,856,135,Good
34.02,44.92,258,183,Bad
26.84,44.49,1283,97,Good
26.64,87.65,1995,157,Average
24.32,42.02,1539,170,Bad
25.13,62.52,252,147,Good
21.64,55.08,1361,98,Good
